telugu_word,english_meaning,difficulty
కమలం,lotus,easy
పుస్తకం,book,easy
గృహం,house,easy
నీరు,water,easy
అగ్ని,fire,easy
వాయు,air,easy
భూమి,earth,easy
ఆకాశం,sky,easy
చంద్రుడు,moon,easy
సూర్యుడు,sun,easy
తార,star,easy
మేఘం,cloud,easy
వర్షం,rain,easy
గాలి,wind,easy
అడవి,forest,easy
నది,river,easy
సముద్రం,sea,easy
పర్వతం,mountain,easy
ఇంటి,home,easy
బడి,school,easy
అమ్మ,mother,easy
నాన్న,father,easy
అన్న,brother,easy
అక్క,sister,easy
బావ,brother-in-law,easy
విద్యార్థి,student,medium
అధ్యాపకుడు,teacher,medium
వైద్యుడు,doctor,medium
ఇంజనీరు,engineer,medium
వకీలు,lawyer,medium
వ్యాపారి,businessman,medium
కర్షకుడు,farmer,medium
కార్మికుడు,worker,medium
అధికారి,officer,medium
న్యాయాధిపతి,judge,medium
పోలీసు,police,medium
అగ్నిశామకుడు,firefighter,medium
డ్రైవర్,driver,medium
కుక్క,dog,medium
పిల్లి,cat,medium
గేదె,buffalo,medium
ఎద్దు,ox,medium
గుర్రం,horse,medium
ఆవు,cow,medium
మేక,goat,medium
కోడి,hen,medium
పక్షి,bird,medium
చేప,fish,medium
జింక,deer,medium
కుందేలు,rabbit,medium
విశ్వవిద్యాలయం,university,hard
వైద్యశాల,hospital,hard
ఆసుపత్రి,medical center,hard
విమానాశ్రయం,airport,hard
రైల్వేస్టేషను,railway station,hard
బస్సుస్టాప్,bus stop,hard
బ్యాంకు,bank,hard
పోస్టాఫీసు,post office,hard
లైబ్రరీ,library,hard
మ్యూజియం,museum,hard
