telugu_word,english_meaning,difficulty
కమలం,lotus,easy
పుస్తకం,book,easy
గృహం,house,easy
నీరు,water,easy
అగ్ని,fire,easy
వాయు,air,medium
భూమి,earth,medium
ఆకాశం,sky,medium
చంద్రుడు,moon,medium
సూర్యుడు,sun,medium
తార,star,medium
మేఘం,cloud,medium
వర్షం,rain,medium
గాలి,wind,medium
అడవి,forest,medium
నది,river,medium
సముద్రం,sea,medium
పర్వతం,mountain,medium
ఇంటి,home,medium
బడి,school,medium
అమ్మ,mother,medium
నాన్న,father,medium
అన్న,brother,medium
అక్క,sister,medium
బావ,brother-in-law,medium
విద్యార్థి,student,hard
అధ్యాపకుడు,teacher,hard
వైద్యుడు,doctor,hard
ఇంజనీరు,engineer,hard
వకీలు,lawyer,hard
వ్యాపారి,businessman,hard
కర్షకుడు,farmer,hard
కార్మికుడు,worker,hard
అధికారి,officer,hard
న్యాయాధిపతి,judge,hard
పోలీసు,police,hard
అగ్నిశామకుడు,firefighter,hard
డ్రైవర్,driver,hard
కుక్క,dog,hard
పిల్లి,cat,hard
గేదె,buffalo,hard
ఎద్దు,ox,hard
గుర్రం,horse,hard
ఆవు,cow,hard
మేక,goat,hard
కోడి,hen,hard
పక్షి,bird,hard
చేప,fish,hard
జింక,deer,hard
కుందేలు,rabbit,hard

